tv,emisora,mdp_6_meses,fondos_que_lo_tienen,clase_propuesta,nombre_del_etf
1I,U03AMX,427557.0,7,,
1ISP,XTMXX,373327.0,4,,
1ISP,VMSTX,352697.0,4,,
1ISP,PR1MX,127546.0,1,,
1I,VMSTX,83142.0,9,,
1I,FRMXNX,51276.0,8,,
1I,IGLMX,50646.0,2,,
1I,I37MX,38183.0,9,,
1I,TMX1X,37635.0,4,,
1ISP,U03A,37432.0,3,,
1I,XTMXX,33689.0,2,,
1ISP,SDMXX,31930.0,2,,
1ISP,XT0D,27379.0,2,,
1ISP,FRMXNX,24479.0,2,,
1I,TI5MX,24366.0,3,,
1I,PR1MX,17347.0,1,,
1ISP,IGBUX,15969.0,5,,
1ISP,JPEA,12985.0,15,,
1I,TBLLMX,9894.0,1,,
1ISP,VDPA,9573.0,5,,
1ISP,IMEAX,8538.0,4,,
1I,AFLMX,8446.0,2,,
1ISP,VDCA,8014.0,5,,
1ISP,IJPAX,6642.0,4,,
1ISP,SPXS1,6348.0,7,,
1ISP,USC5,6197.0,1,,
1ISP,IMBA,5285.0,4,,
1ISP,IFSU,5100.0,1,,
1ISP,DHYA,4973.0,4,,
1ISP,IUFS,4732.0,5,,
1ISP,TRIA,4557.0,2,,
1ISP,TR7A,4373.0,2,,
1ISP,XUSTX,4292.0,2,,
1ISP,STYC,4026.0,3,,
1ISP,EWY,3887.0,31,,
1ISP,ITWAX,3880.0,6,,
1ISP,SDHA,3850.0,5,,
1ISP,VDEA,3817.0,9,,
1ISP,IUCM,3762.0,5,,
1I,SDHMX,3755.0,5,,
1ISP,EMCA,3706.0,8,,
1ISP,XSPU1,3630.0,1,,
1ISP,IUCD,3605.0,5,,
1I,SDMXX,3586.0,8,,
1ISP,DTLA,3472.0,12,,
1ISP,SPXL,3472.0,1,,
1ISP,IUMO,3453.0,1,,
1ISP,ICHN,3452.0,7,,
1ISP,IQLT,3436.0,1,,
1ISP,DFND,3431.0,4,,
1ISP,BLTN,3402.0,10,,
1ISP,MCHI,3380.0,26,,
1ISP,MTXX1,3314.0,2,,
1ISP,IUIS,3261.0,5,,
1ISP,GVI,3239.0,1,,
1ISP,EFG,3239.0,2,,
1ISP,BB3M,3221.0,6,,
1ISP,R1GR,3189.0,2,,
1ISP,IWMO,3122.0,1,,
1ISP,IDTM,2918.0,2,,
1ISP,USRT,2903.0,5,,
1ISP,GDX,2851.0,5,,
1ISP,HLQD,2842.0,3,,
1ISP,IDTP,2793.0,10,,
1ISP,IUHC,2784.0,6,,
1ISP,SPHQ,2778.0,1,,
1ISP,OEF,2731.0,2,,
1ISP,EWU,2699.0,9,,
1ISP,ISAC,2656.0,10,,
1ISP,EWT,2596.0,13,,
1ISP,CSKR,2595.0,5,,
1ISP,XLC,2551.0,10,,
1I,IEGMX,2529.0,1,,
1ISP,SHLD,2510.0,2,,
1ISP,SIL,2458.0,2,,
1ISP,MEUD,2439.0,7,,
1ISP,IUAA,2427.0,4,,
1ISP,XNTK,2366.0,10,,
1ISP,HSPA,2317.0,8,,
1ISP,SLQD,2300.0,3,,
1ISP,XLF,2287.0,18,,
1ISP,VBIL,2198.0,5,,
1ISP,RWL,2185.0,1,,
1ISP,BBEU,2161.0,3,,
1ISP,ARTY,2085.0,2,,
1ISP,EMGA,2059.0,4,,
1ISP,VMBS,2053.0,1,,
1ISP,STPZ,2050.0,1,,
1ISP,R1VL,2044.0,2,,
1ISP,HSWD,2036.0,1,,
1ISP,INDA,1984.0,20,,
1ISP,VUDS,1961.0,4,,
1ISP,EWZ,1886.0,27,,
1ISP,IJPD,1882.0,8,,
